"sim","i","j"
"lambda == 0.5",1,1
"lambda == 0.5",2,1
"lambda == 0.5",3,1
"lambda == 0.5",4,2
"lambda == 0.5",5,2
"lambda == 0.5",6,3
"lambda == 0.5",7,3
"lambda == 0.5",8,4
"lambda == 0.5",9,4
"lambda == 0.5",10,5
"lambda == 0.5",11,5
"lambda == 0.5",12,6
"lambda == 0.5",13,6
"lambda == 0.5",14,7
"lambda == 0.5",15,7
"lambda == 0.5",16,8
"lambda == 0.5",17,8
"lambda == 0.5",18,9
"lambda == 0.5",19,9
"lambda == 0.5",20,9
"lambda == 0.8",1,1
"lambda == 0.8",2,1
"lambda == 0.8",3,1
"lambda == 0.8",4,2
"lambda == 0.8",5,2
"lambda == 0.8",6,3
"lambda == 0.8",7,3
"lambda == 0.8",8,4
"lambda == 0.8",9,4
"lambda == 0.8",10,5
"lambda == 0.8",11,5
"lambda == 0.8",12,6
"lambda == 0.8",13,6
"lambda == 0.8",14,7
"lambda == 0.8",15,7
"lambda == 0.8",16,8
"lambda == 0.8",17,8
"lambda == 0.8",18,9
"lambda == 0.8",19,9
"lambda == 0.8",20,9
"lambda == 1.1",1,1
"lambda == 1.1",2,1
"lambda == 1.1",3,1
"lambda == 1.1",4,2
"lambda == 1.1",5,2
"lambda == 1.1",6,3
"lambda == 1.1",7,3
"lambda == 1.1",8,4
"lambda == 1.1",9,4
"lambda == 1.1",10,5
"lambda == 1.1",11,5
"lambda == 1.1",12,6
"lambda == 1.1",13,6
"lambda == 1.1",14,7
"lambda == 1.1",15,7
"lambda == 1.1",16,8
"lambda == 1.1",17,8
"lambda == 1.1",18,9
"lambda == 1.1",19,9
"lambda == 1.1",20,9
"lambda == 1.4",1,1
"lambda == 1.4",2,1
"lambda == 1.4",3,1
"lambda == 1.4",4,2
"lambda == 1.4",5,2
"lambda == 1.4",6,3
"lambda == 1.4",7,3
"lambda == 1.4",8,4
"lambda == 1.4",9,4
"lambda == 1.4",10,5
"lambda == 1.4",11,5
"lambda == 1.4",12,6
"lambda == 1.4",13,6
"lambda == 1.4",14,7
"lambda == 1.4",15,7
"lambda == 1.4",16,8
"lambda == 1.4",17,8
"lambda == 1.4",18,9
"lambda == 1.4",19,9
"lambda == 1.4",20,9
