"sim","i","j"
"Sim 1",1,1
"Sim 1",2,1
"Sim 1",3,1
"Sim 1",4,1
"Sim 1",5,1
"Sim 1",6,2
"Sim 1",7,2
"Sim 1",8,2
"Sim 1",9,2
"Sim 1",10,2
"Sim 1",11,3
"Sim 1",12,3
"Sim 1",13,3
"Sim 1",14,3
"Sim 1",15,3
"Sim 1",16,4
"Sim 1",17,4
"Sim 1",18,4
"Sim 1",19,4
"Sim 1",20,4
"Sim 2",1,1
"Sim 2",2,1
"Sim 2",3,1
"Sim 2",4,1
"Sim 2",5,1
"Sim 2",6,2
"Sim 2",7,2
"Sim 2",8,2
"Sim 2",9,2
"Sim 2",10,2
"Sim 2",11,3
"Sim 2",12,3
"Sim 2",13,3
"Sim 2",14,3
"Sim 2",15,3
"Sim 2",16,4
"Sim 2",17,4
"Sim 2",18,4
"Sim 2",19,4
"Sim 2",20,4
"Sim 3",1,1
"Sim 3",2,1
"Sim 3",3,1
"Sim 3",4,1
"Sim 3",5,1
"Sim 3",6,2
"Sim 3",7,2
"Sim 3",8,2
"Sim 3",9,2
"Sim 3",10,2
"Sim 3",11,3
"Sim 3",12,3
"Sim 3",13,3
"Sim 3",14,3
"Sim 3",15,3
"Sim 3",16,4
"Sim 3",17,4
"Sim 3",18,4
"Sim 3",19,4
"Sim 3",20,4
"Sim 4",1,1
"Sim 4",2,1
"Sim 4",3,1
"Sim 4",4,1
"Sim 4",5,1
"Sim 4",6,2
"Sim 4",7,2
"Sim 4",8,2
"Sim 4",9,2
"Sim 4",10,2
"Sim 4",11,3
"Sim 4",12,3
"Sim 4",13,3
"Sim 4",14,3
"Sim 4",15,3
"Sim 4",16,4
"Sim 4",17,4
"Sim 4",18,4
"Sim 4",19,4
"Sim 4",20,4
