"i","j","P_ij","F_ij"
1,1,0.999999226060276,0.188278888238484
2,1,0.999998673733428,0.388184599349484
3,1,0.999997745709611,0.678808951433958
4,1,0.999996252231282,0.91209031025942
5,1,0.999993813059977,0.933247059139509
6,1,0.999989480967395,0.793040280082585
7,1,0.999980941866224,0.637290133369245
8,1,0.999962712854393,0.537394288866309
9,1,0.999921673867797,0.493872810953391
10,1,0.999824719395573,0.484483785403583
11,1,0.999580918570675,0.487357906431688
12,1,0.998922589428708,0.491422993270324
13,1,0.997061663253433,0.498562366610993
14,1,0.991931793300342,0.515093619176504
15,1,0.979501599069494,0.54037269718895
16,1,0.955633966473217,0.561990505088476
17,1,0.921378985201593,0.562802662565536
18,1,0.883899107867749,0.536664605916368
19,1,0.849874587456986,0.495290126565802
20,1,0.82242808634583,0.456775384919756
21,1,0.803961130300883,0.431253037892002
22,1,0.796821647173068,0.41707994137924
23,1,0.799659773861044,0.405383150188642
24,1,0.805384307780965,0.388199834832694
25,1,0.804657655632986,0.365311810608674
26,1,0.791317398073304,0.34375126568575
27,1,0.766295258648632,0.331205191693493
28,1,0.739771806884671,0.33061231585443
29,1,0.727132359395618,0.338875726312961
30,1,0.73708808800551,0.348544288052762
1,2,0.999999132846347,0.190535033841148
2,2,0.999998517131198,0.414502361080733
3,2,0.999997487087953,0.746805758151267
4,2,0.999995853469166,0.991107181328181
5,2,0.999993226629932,0.966206024527496
6,2,0.999988596002407,0.776515030780809
7,2,0.999979528561301,0.60503043548515
8,2,0.99996058407743,0.514937536256513
9,2,0.999919853170143,0.492316708262986
10,2,0.999829749831462,0.504539615302224
11,2,0.9996175739758,0.519814387431869
12,2,0.999069525123833,0.522266501307015
13,2,0.997544399902371,0.518670083175214
14,2,0.993309522858327,0.524129266979588
15,2,0.982857444888957,0.543639545361354
16,2,0.96237402140463,0.565614293419903
17,2,0.932158980222103,0.570108116340219
18,2,0.896970385252096,0.547956045180921
19,2,0.860382882919767,0.510718001553471
20,2,0.824007767504055,0.477921966065167
21,2,0.792518612945068,0.459623365773012
22,2,0.774092392445524,0.451227621369158
23,2,0.772365926197093,0.439152807973617
24,2,0.779991978926197,0.413111384962616
25,2,0.783294695838828,0.37631192225319
26,2,0.772004129073586,0.342072998725001
27,2,0.745321284753099,0.32203780741662
28,2,0.714323804376678,0.319706509838191
29,2,0.697000808670036,0.330603733392631
30,2,0.703533836814369,0.344804081672924
1,3,0.999999036078757,0.17871627323025
2,3,0.999998373626802,0.408019487511768
3,3,0.999997265867195,0.76132167058886
4,3,0.999995497005785,1.01867521169218
5,3,0.999992618607989,0.976028887948338
6,3,0.999987501954267,0.764214296266277
7,3,0.99997755995793,0.5871527857554
8,3,0.999957484299831,0.504205892851638
9,3,0.999917043774615,0.495041829920845
10,3,0.999835121898027,0.521694125361962
11,3,0.999658399778907,0.544966632421481
12,3,0.99923121548764,0.544647269004577
13,3,0.998091203830535,0.531267829738094
14,3,0.995000417058355,0.526575429428163
15,3,0.987458436410873,0.539344254676889
16,3,0.972646465744227,0.558794538761359
17,3,0.950120525217314,0.564298032439355
18,3,0.921412681623774,0.545837604145881
19,3,0.886089857206992,0.514784776804953
20,3,0.84280558674058,0.490595634998654
21,3,0.796684101703952,0.482180070884688
22,3,0.762030909489372,0.481633314161651
23,3,0.750456198354351,0.470473342006975
24,3,0.757349465684933,0.436280423396968
25,3,0.765774673899745,0.386325871755565
26,3,0.761176329434273,0.340218105947897
27,3,0.74042064432578,0.312690409471958
28,3,0.713267842063194,0.307138633697845
29,3,0.696265526487718,0.318033664307843
30,3,0.698125750638591,0.334339073512187
1,4,0.999998923580737,0.149147723993243
2,4,0.999998226536173,0.35273043369622
3,4,0.999997061179881,0.687012238618391
4,4,0.999995171454562,0.955316190839769
5,4,0.999992032061294,0.939602626491245
6,4,0.999986404253936,0.74612143976022
7,4,0.999975633464861,0.577653129702615
8,4,0.999954773553521,0.499355437391902
9,4,0.999915448951874,0.493651403238149
10,4,0.999841810156948,0.522530149067062
11,4,0.99969358892347,0.545232683651162
12,4,0.999352094398302,0.541099694451378
13,4,0.998470510406419,0.522437610176813
