"i","j","P_ij","F_ij","sim"
1,1,0.768524783499018,0.00180587693498747,"lambda == 0.5"
2,1,0.768524783499018,0.00180587693498747,"lambda == 0.5"
3,1,0.768524783499018,0.00180587693498747,"lambda == 0.5"
4,1,0.768524783499018,0.00180587693498747,"lambda == 0.5"
5,1,0.768524783499018,0.00180587693498747,"lambda == 0.5"
6,1,0.768524783499018,0.00180587693498747,"lambda == 0.5"
7,1,0.768524783499018,0.00180587693498747,"lambda == 0.5"
8,1,0.768524783499018,0.00180587693498747,"lambda == 0.5"
9,1,0.768524783499018,0.00180587693498747,"lambda == 0.5"
10,1,0.768524783499018,0.00180587693498747,"lambda == 0.5"
11,1,0.768524783499018,0.00180587693498747,"lambda == 0.5"
12,1,0.768524783499018,0.00180587693498747,"lambda == 0.5"
13,1,0.768524783499018,0.00180587693498747,"lambda == 0.5"
14,1,0.768524783499018,0.00180587693498747,"lambda == 0.5"
15,1,0.768524783499018,0.00180587693498747,"lambda == 0.5"
16,1,0.768524783499018,0.00180587693498747,"lambda == 0.5"
17,1,0.768524783499018,0.00180587693498747,"lambda == 0.5"
18,1,0.768524783499018,0.00180587693498747,"lambda == 0.5"
19,1,0.768524783499018,0.00180587693498747,"lambda == 0.5"
20,1,0.768524783499018,0.00180587693498747,"lambda == 0.5"
1,2,0.740774899182154,0.00180587693498747,"lambda == 0.5"
2,2,0.740774899182154,0.00180587693498747,"lambda == 0.5"
3,2,0.740774899182154,0.00180587693498747,"lambda == 0.5"
4,2,0.740774899182154,0.00180587693498747,"lambda == 0.5"
5,2,0.740774899182154,0.00180587693498747,"lambda == 0.5"
6,2,0.740774899182154,0.00180587693498747,"lambda == 0.5"
7,2,0.740774899182154,0.00180587693498747,"lambda == 0.5"
8,2,0.740774899182154,0.00180587693498747,"lambda == 0.5"
9,2,0.740774899182154,0.00180587693498747,"lambda == 0.5"
10,2,0.740774899182154,0.00180587693498747,"lambda == 0.5"
11,2,0.740774899182154,0.00180587693498747,"lambda == 0.5"
12,2,0.740774899182154,0.00180587693498747,"lambda == 0.5"
13,2,0.740774899182154,0.00180587693498747,"lambda == 0.5"
14,2,0.740774899182154,0.00180587693498747,"lambda == 0.5"
15,2,0.740774899182154,0.00180587693498747,"lambda == 0.5"
16,2,0.740774899182154,0.00180587693498747,"lambda == 0.5"
17,2,0.740774899182154,0.00180587693498747,"lambda == 0.5"
18,2,0.740774899182154,0.00180587693498747,"lambda == 0.5"
19,2,0.740774899182154,0.00180587693498747,"lambda == 0.5"
20,2,0.740774899182154,0.00180587693498747,"lambda == 0.5"
1,3,0.710949502625004,0.00180587693498747,"lambda == 0.5"
2,3,0.710949502625004,0.00180587693498747,"lambda == 0.5"
3,3,0.710949502625004,0.00180587693498747,"lambda == 0.5"
4,3,0.710949502625004,0.00180587693498747,"lambda == 0.5"
5,3,0.710949502625004,0.00180587693498747,"lambda == 0.5"
6,3,0.710949502625004,0.00180587693498747,"lambda == 0.5"
7,3,0.710949502625004,0.00180587693498747,"lambda == 0.5"
8,3,0.710949502625004,0.00180587693498747,"lambda == 0.5"
9,3,0.710949502625004,0.00180587693498747,"lambda == 0.5"
10,3,0.710949502625004,0.00180587693498747,"lambda == 0.5"
11,3,0.710949502625004,0.00180587693498747,"lambda == 0.5"
12,3,0.710949502625004,0.00180587693498747,"lambda == 0.5"
13,3,0.710949502625004,0.00180587693498747,"lambda == 0.5"
14,3,0.710949502625004,0.00180587693498747,"lambda == 0.5"
15,3,0.710949502625004,0.00180587693498747,"lambda == 0.5"
16,3,0.710949502625004,0.00180587693498747,"lambda == 0.5"
17,3,0.710949502625004,0.00180587693498747,"lambda == 0.5"
18,3,0.710949502625004,0.00180587693498747,"lambda == 0.5"
19,3,0.710949502625004,0.00180587693498747,"lambda == 0.5"
20,3,0.710949502625004,0.00180587693498747,"lambda == 0.5"
1,4,0.679178699175393,0.00180587693498747,"lambda == 0.5"
2,4,0.679178699175393,0.00180587693498747,"lambda == 0.5"
3,4,0.679178699175393,0.00180587693498747,"lambda == 0.5"
4,4,0.679178699175393,0.00180587693498747,"lambda == 0.5"
5,4,0.679178699175393,0.00180587693498747,"lambda == 0.5"
6,4,0.679178699175393,0.00180587693498747,"lambda == 0.5"
7,4,0.679178699175393,0.00180587693498747,"lambda == 0.5"
8,4,0.679178699175393,0.00180587693498747,"lambda == 0.5"
9,4,0.679178699175393,0.00180587693498747,"lambda == 0.5"
10,4,0.679178699175393,0.00180587693498747,"lambda == 0.5"
11,4,0.679178699175393,0.00180587693498747,"lambda == 0.5"
12,4,0.679178699175393,0.00180587693498747,"lambda == 0.5"
13,4,0.679178699175393,0.00180587693498747,"lambda == 0.5"
14,4,0.679178699175393,0.00180587693498747,"lambda == 0.5"
15,4,0.679178699175393,0.00180587693498747,"lambda == 0.5"
16,4,0.679178699175393,0.00180587693498747,"lambda == 0.5"
17,4,0.679178699175393,0.00180587693498747,"lambda == 0.5"
18,4,0.679178699175393,0.00180587693498747,"lambda == 0.5"
19,4,0.679178699175393,0.00180587693498747,"lambda == 0.5"
20,4,0.679178699175393,0.00180587693498747,"lambda == 0.5"
1,5,0.645656306225795,0.00180587693498747,"lambda == 0.5"
2,5,0.645656306225795,0.00180587693498747,"lambda == 0.5"
3,5,0.645656306225795,0.00180587693498747,"lambda == 0.5"
4,5,0.645656306225795,0.00180587693498747,"lambda == 0.5"
5,5,0.645656306225795,0.00180587693498747,"lambda == 0.5"
6,5,0.645656306225795,0.00180587693498747,"lambda == 0.5"
7,5,0.645656306225795,0.00180587693498747,"lambda == 0.5"
8,5,0.645656306225795,0.00180587693498747,"lambda == 0.5"
9,5,0.645656306225795,0.00180587693498747,"lambda == 0.5"
10,5,0.645656306225795,0.00180587693498747,"lambda == 0.5"
11,5,0.645656306225795,0.00180587693498747,"lambda == 0.5"
12,5,0.645656306225795,0.00180587693498747,"lambda == 0.5"
13,5,0.645656306225795,0.00180587693498747,"lambda == 0.5"
14,5,0.645656306225795,0.00180587693498747,"lambda == 0.5"
15,5,0.645656306225795,0.00180587693498747,"lambda == 0.5"
16,5,0.645656306225795,0.00180587693498747,"lambda == 0.5"
17,5,0.645656306225795,0.00180587693498747,"lambda == 0.5"
18,5,0.645656306225795,0.00180587693498747,"lambda == 0.5"
19,5,0.645656306225795,0.00180587693498747,"lambda == 0.5"
20,5,0.645656306225795,0.00180587693498747,"lambda == 0.5"
1,6,0.610639233949222,0.00180587693498747,"lambda == 0.5"
2,6,0.610639233949222,0.00180587693498747,"lambda == 0.5"
3,6,0.610639233949222,0.00180587693498747,"lambda == 0.5"
4,6,0.610639233949222,0.00180587693498747,"lambda == 0.5"
5,6,0.610639233949222,0.00180587693498747,"lambda == 0.5"
6,6,0.610639233949222,0.00180587693498747,"lambda == 0.5"
7,6,0.610639233949222,0.00180587693498747,"lambda == 0.5"
8,6,0.610639233949222,0.00180587693498747,"lambda == 0.5"
9,6,0.610639233949222,0.00180587693498747,"lambda == 0.5"
10,6,0.610639233949222,0.00180587693498747,"lambda == 0.5"
11,6,0.610639233949222,0.00180587693498747,"lambda == 0.5"
12,6,0.610639233949222,0.00180587693498747,"lambda == 0.5"
13,6,0.610639233949222,0.00180587693498747,"lambda == 0.5"
