"i","j","P_ij","F_ij","sim"
1,1,0.999981542106704,0.0724905821883367,"Sim 1"
2,1,0.999962831062897,0.0724881107428363,"Sim 1"
3,1,0.999925153772489,0.0724831343741022,"Sim 1"
4,1,0.99984928964194,0.0724731152711513,"Sim 1"
5,1,0.999696552969971,0.0724529476780557,"Sim 1"
6,1,0.999389120640566,0.0724123691738052,"Sim 1"
7,1,0.998770601378723,0.0723307918727712,"Sim 1"
8,1,0.997527376843365,0.0721670718495875,"Sim 1"
9,1,0.995033198349943,0.0718396190290382,"Sim 1"
10,1,0.990048198133096,0.0711891455876074,"Sim 1"
11,1,0.980159694265923,0.0699143573259832,"Sim 1"
12,1,0.960834277203236,0.0674809673635332,"Sim 1"
13,1,0.924141819978756,0.0630610640015635,"Sim 1"
14,1,0.858148935099512,0.0557126827089506,"Sim 1"
15,1,0.750260105595118,0.0451239569146814,"Sim 1"
16,1,0.598687660112452,0.032633893158136,"Sim 1"
17,1,0.425557483188341,0.0209541435655446,"Sim 1"
18,1,0.268941421369995,0.0121774946116396,"Sim 1"
19,1,0.154465265083535,0.00660577866000238,"Sim 1"
20,1,0.0831726964939224,0.00343804478563063,"Sim 1"
1,2,0.999972464308885,0.0724905821883367,"Sim 1"
2,2,0.999944551475277,0.0724881107428363,"Sim 1"
3,2,0.99988834665937,0.0724831343741022,"Sim 1"
4,2,0.999775183229767,0.0724731152711513,"Sim 1"
5,2,0.99954737777676,0.0724529476780557,"Sim 1"
6,2,0.999088948805599,0.0724123691738052,"Sim 1"
7,2,0.998167061057507,0.0723307918727712,"Sim 1"
8,2,0.996315760100564,0.0721670718495875,"Sim 1"
9,2,0.992608458655718,0.0718396190290382,"Sim 1"
10,2,0.985225968306727,0.0711891455876074,"Sim 1"
11,2,0.970687769248644,0.0699143573259832,"Sim 1"
12,2,0.942675824101131,0.0674809673635332,"Sim 1"
13,2,0.890903178804387,0.0630610640015635,"Sim 1"
14,2,0.802183888558582,0.0557126827089506,"Sim 1"
15,2,0.668187772168166,0.0451239569146814,"Sim 1"
16,2,0.5,0.032633893158136,"Sim 1"
17,2,0.331812227831834,0.0209541435655446,"Sim 1"
18,2,0.197816111441418,0.0121774946116396,"Sim 1"
19,2,0.109096821195613,0.00660577866000238,"Sim 1"
20,2,0.0573241758988688,0.00343804478563063,"Sim 1"
1,3,0.999958922132235,0.0724905821883367,"Sim 1"
2,3,0.999917282777148,0.0724881107428363,"Sim 1"
3,3,0.999833441935223,0.0724831343741022,"Sim 1"
4,3,0.999664649869534,0.0724731152711513,"Sim 1"
5,3,0.999324917269367,0.0724529476780557,"Sim 1"
6,3,0.998641480049571,0.0724123691738052,"Sim 1"
7,3,0.997268039236989,0.0723307918727712,"Sim 1"
8,3,0.99451370110055,0.0721670718495875,"Sim 1"
9,3,0.989013057369407,0.0718396190290382,"Sim 1"
10,3,0.97811872906387,0.0711891455876074,"Sim 1"
11,3,0.956892745058914,0.0699143573259832,"Sim 1"
12,3,0.916827303506078,0.0674809673635332,"Sim 1"
13,3,0.845534734916465,0.0630610640015635,"Sim 1"
14,3,0.731058578630005,0.0557126827089506,"Sim 1"
15,3,0.574442516811659,0.0451239569146814,"Sim 1"
16,3,0.401312339887548,0.032633893158136,"Sim 1"
17,3,0.249739894404883,0.0209541435655446,"Sim 1"
18,3,0.141851064900488,0.0121774946116396,"Sim 1"
19,3,0.0758581800212436,0.00660577866000238,"Sim 1"
20,3,0.0391657227967644,0.00343804478563063,"Sim 1"
1,4,0.999938720260383,0.0724905821883367,"Sim 1"
2,4,0.999876605424014,0.0724881107428363,"Sim 1"
3,4,0.999751544918161,0.0724831343741022,"Sim 1"
4,4,0.99949979889292,0.0724731152711513,"Sim 1"
5,4,0.998993229179914,0.0724529476780557,"Sim 1"
6,4,0.99797467961095,0.0724123691738052,"Sim 1"
7,4,0.995929862284104,0.0723307918727712,"Sim 1"
8,4,0.99183742884684,0.0721670718495875,"Sim 1"
9,4,0.983697500628559,0.0718396190290382,"Sim 1"
10,4,0.96770453530155,0.0711891455876074,"Sim 1"
11,4,0.937026643943004,0.0699143573259832,"Sim 1"
12,4,0.880797077977883,0.0674809673635332,"Sim 1"
13,4,0.785834983042559,0.0630610640015635,"Sim 1"
14,4,0.645656306225796,0.0557126827089506,"Sim 1"
15,4,0.47502081252106,0.0451239569146814,"Sim 1"
16,4,0.310025518872388,0.032633893158136,"Sim 1"
17,4,0.182425523806357,0.0209541435655446,"Sim 1"
18,4,0.0997504891196852,0.0121774946116396,"Sim 1"
19,4,0.0521535630784178,0.00660577866000238,"Sim 1"
20,4,0.0265969935768658,0.00343804478563063,"Sim 1"
1,1,0.924141819978756,0.204357692836746,"Sim 2"
2,1,0.916827303506078,0.184910487142187,"Sim 2"
3,1,0.908877038985144,0.167313927753508,"Sim 2"
4,1,0.900249510880315,0.151391902389939,"Sim 2"
5,1,0.890903178804387,0.136985058070065,"Sim 2"
6,1,0.880797077977882,0.123949206253623,"Sim 2"
7,1,0.869891525637002,0.112153879754135,"Sim 2"
8,1,0.858148935099512,0.101481026979447,"Sim 2"
9,1,0.845534734916465,0.0918238304317204,"Sim 2"
10,1,0.832018385133924,0.0830856376420096,"Sim 2"
11,1,0.817574476193644,0.0751789938398673,"Sim 2"
12,1,0.802183888558582,0.0680247666766069,"Sim 2"
13,1,0.785834983042559,0.0615513542421596,"Sim 2"
14,1,0.768524783499018,0.0556939684490923,"Sim 2"
15,1,0.750260105595118,0.0503939866116529,"Sim 2"
16,1,0.731058578630005,0.0455983647302267,"Sim 2"
17,1,0.710949502625004,0.0412591066091603,"Sim 2"
18,1,0.689974481127613,0.037332783494703,"Sim 2"
19,1,0.668187772168166,0.0337800994254426,"Sim 2"
20,1,0.645656306225795,0.0305654979451155,"Sim 2"
1,2,0.890903178804387,0.204357692836746,"Sim 2"
2,2,0.880797077977882,0.184910487142187,"Sim 2"
3,2,0.869891525637002,0.167313927753508,"Sim 2"
4,2,0.858148935099512,0.151391902389939,"Sim 2"
5,2,0.845534734916465,0.136985058070065,"Sim 2"
6,2,0.832018385133924,0.123949206253623,"Sim 2"
7,2,0.817574476193644,0.112153879754135,"Sim 2"
8,2,0.802183888558582,0.101481026979447,"Sim 2"
9,2,0.785834983042559,0.0918238304317204,"Sim 2"
10,2,0.768524783499018,0.0830856376420096,"Sim 2"
11,2,0.750260105595118,0.0751789938398673,"Sim 2"
12,2,0.731058578630005,0.0680247666766069,"Sim 2"
13,2,0.710949502625004,0.0615513542421596,"Sim 2"
14,2,0.689974481127612,0.0556939684490923,"Sim 2"
15,2,0.668187772168166,0.0503939866116529,"Sim 2"
16,2,0.645656306225795,0.0455983647302267,"Sim 2"
17,2,0.622459331201855,0.0412591066091603,"Sim 2"
18,2,0.598687660112452,0.037332783494703,"Sim 2"
19,2,0.574442516811659,0.0337800994254426,"Sim 2"
20,2,0.549833997312478,0.0305654979451155,"Sim 2"
1,3,0.845534734916465,0.204357692836746,"Sim 2"
2,3,0.832018385133924,0.184910487142187,"Sim 2"
3,3,0.817574476193644,0.167313927753508,"Sim 2"
4,3,0.802183888558582,0.151391902389939,"Sim 2"
5,3,0.785834983042559,0.136985058070065,"Sim 2"
6,3,0.768524783499018,0.123949206253623,"Sim 2"
7,3,0.750260105595118,0.112153879754135,"Sim 2"
8,3,0.731058578630005,0.101481026979447,"Sim 2"
9,3,0.710949502625004,0.0918238304317204,"Sim 2"
10,3,0.689974481127613,0.0830856376420096,"Sim 2"
11,3,0.668187772168166,0.0751789938398673,"Sim 2"
12,3,0.645656306225795,0.0680247666766069,"Sim 2"
13,3,0.622459331201855,0.0615513542421596,"Sim 2"
14,3,0.598687660112452,0.0556939684490923,"Sim 2"
15,3,0.574442516811659,0.0503939866116529,"Sim 2"
16,3,0.549833997312478,0.0455983647302267,"Sim 2"
17,3,0.52497918747894,0.0412591066091603,"Sim 2"
18,3,0.5,0.037332783494703,"Sim 2"
19,3,0.47502081252106,0.0337800994254426,"Sim 2"
20,3,0.450166002687522,0.0305654979451155,"Sim 2"
1,4,0.785834983042559,0.204357692836746,"Sim 2"
2,4,0.768524783499018,0.184910487142187,"Sim 2"
3,4,0.750260105595118,0.167313927753508,"Sim 2"
4,4,0.731058578630005,0.151391902389939,"Sim 2"
5,4,0.710949502625004,0.136985058070065,"Sim 2"
6,4,0.689974481127612,0.123949206253623,"Sim 2"
7,4,0.668187772168166,0.112153879754135,"Sim 2"
8,4,0.645656306225795,0.101481026979447,"Sim 2"
9,4,0.622459331201854,0.0918238304317204,"Sim 2"
10,4,0.598687660112452,0.0830856376420096,"Sim 2"
11,4,0.574442516811659,0.0751789938398673,"Sim 2"
12,4,0.549833997312478,0.0680247666766069,"Sim 2"
13,4,0.52497918747894,0.0615513542421596,"Sim 2"
14,4,0.5,0.0556939684490923,"Sim 2"
15,4,0.47502081252106,0.0503939866116529,"Sim 2"
16,4,0.450166002687522,0.0455983647302267,"Sim 2"
17,4,0.425557483188341,0.0412591066091603,"Sim 2"
18,4,0.401312339887548,0.037332783494703,"Sim 2"
19,4,0.377540668798145,0.0337800994254426,"Sim 2"
20,4,0.354343693774205,0.0305654979451155,"Sim 2"
1,1,0.768524783499018,0.250644632190657,"Sim 3"
2,1,0.768524783499018,0.250644632190657,"Sim 3"
3,1,0.768524783499018,0.250644632190657,"Sim 3"
4,1,0.768524783499018,0.250644632190657,"Sim 3"
5,1,0.768524783499018,0.250644632190657,"Sim 3"
6,1,0.768524783499018,0.250644632190657,"Sim 3"
7,1,0.768524783499018,0.250644632190657,"Sim 3"
8,1,0.768524783499018,0.250644632190657,"Sim 3"
9,1,0.768524783499018,0.250644632190657,"Sim 3"
10,1,0.768524783499018,0.250644632190657,"Sim 3"
11,1,0.768524783499018,0.250644632190657,"Sim 3"
12,1,0.768524783499018,0.250644632190657,"Sim 3"
13,1,0.768524783499018,0.250644632190657,"Sim 3"
14,1,0.768524783499018,0.250644632190657,"Sim 3"
15,1,0.768524783499018,0.250644632190657,"Sim 3"
16,1,0.768524783499018,0.250644632190657,"Sim 3"
17,1,0.768524783499018,0.250644632190657,"Sim 3"
18,1,0.768524783499018,0.250644632190657,"Sim 3"
19,1,0.768524783499018,0.250644632190657,"Sim 3"
20,1,0.768524783499018,0.250644632190657,"Sim 3"
1,2,0.689974481127612,0.250644632190657,"Sim 3"
2,2,0.689974481127612,0.250644632190657,"Sim 3"
3,2,0.689974481127612,0.250644632190657,"Sim 3"
4,2,0.689974481127612,0.250644632190657,"Sim 3"
5,2,0.689974481127612,0.250644632190657,"Sim 3"
6,2,0.689974481127612,0.250644632190657,"Sim 3"
7,2,0.689974481127612,0.250644632190657,"Sim 3"
8,2,0.689974481127612,0.250644632190657,"Sim 3"
9,2,0.689974481127612,0.250644632190657,"Sim 3"
10,2,0.689974481127612,0.250644632190657,"Sim 3"
11,2,0.689974481127612,0.250644632190657,"Sim 3"
12,2,0.689974481127612,0.250644632190657,"Sim 3"
13,2,0.689974481127612,0.250644632190657,"Sim 3"
14,2,0.689974481127612,0.250644632190657,"Sim 3"
15,2,0.689974481127612,0.250644632190657,"Sim 3"
16,2,0.689974481127612,0.250644632190657,"Sim 3"
17,2,0.689974481127612,0.250644632190657,"Sim 3"
18,2,0.689974481127612,0.250644632190657,"Sim 3"
19,2,0.689974481127612,0.250644632190657,"Sim 3"
20,2,0.689974481127612,0.250644632190657,"Sim 3"
1,3,0.598687660112452,0.250644632190657,"Sim 3"
2,3,0.598687660112452,0.250644632190657,"Sim 3"
3,3,0.598687660112452,0.250644632190657,"Sim 3"
4,3,0.598687660112452,0.250644632190657,"Sim 3"
5,3,0.598687660112452,0.250644632190657,"Sim 3"
6,3,0.598687660112452,0.250644632190657,"Sim 3"
7,3,0.598687660112452,0.250644632190657,"Sim 3"
8,3,0.598687660112452,0.250644632190657,"Sim 3"
9,3,0.598687660112452,0.250644632190657,"Sim 3"
10,3,0.598687660112452,0.250644632190657,"Sim 3"
11,3,0.598687660112452,0.250644632190657,"Sim 3"
