"i","j","P_ij","F_ij","sim"
1,1,0.999938720260383,0.0744187742173286,"Sim 1"
2,1,0.999876605424014,0.0744162370333368,"Sim 1"
3,1,0.999751544918161,0.0744111282971387,"Sim 1"
4,1,0.99949979889292,0.0744008426939906,"Sim 1"
5,1,0.998993229179914,0.0743801386589038,"Sim 1"
6,1,0.99797467961095,0.0743384807986034,"Sim 1"
7,1,0.995929862284104,0.0742547336060215,"Sim 1"
8,1,0.99183742884684,0.0740866587599882,"Sim 1"
9,1,0.983697500628559,0.0737504959539567,"Sim 1"
10,1,0.96770453530155,0.0730827204345597,"Sim 1"
11,1,0.937026643943004,0.0717740238155943,"Sim 1"
12,1,0.880797077977883,0.0692759076088878,"Sim 1"
13,1,0.785834983042559,0.0647384383207771,"Sim 1"
14,1,0.645656306225796,0.0571945959102276,"Sim 1"
15,1,0.47502081252106,0.0463242184026276,"Sim 1"
16,1,0.310025518872388,0.0335019288499864,"Sim 1"
17,1,0.182425523806357,0.0215115071757921,"Sim 1"
18,1,0.0997504891196852,0.0125014063162284,"Sim 1"
19,1,0.0521535630784178,0.00678148713651052,"Sim 1"
20,1,0.0265969935768658,0.00352949405187803,"Sim 1"
1,2,0.999947255589104,0.0744187742173286,"Sim 1"
2,2,0.999893791478702,0.0744162370333368,"Sim 1"
3,2,0.999786145328236,0.0744111282971387,"Sim 1"
4,2,0.999569442918675,0.0744008426939906,"Sim 1"
5,2,0.999133342788921,0.0743801386589038,"Sim 1"
6,2,0.998256298669045,0.0743384807986034,"Sim 1"
7,2,0.996494812779934,0.0742547336060215,"Sim 1"
8,2,0.992966412845005,0.0740866587599882,"Sim 1"
9,2,0.985936372956755,0.0737504959539567,"Sim 1"
10,2,0.972077426215927,0.0730827204345597,"Sim 1"
11,2,0.945318682784059,0.0717740238155943,"Sim 1"
12,2,0.895668776880999,0.0692759076088878,"Sim 1"
13,2,0.809998433984687,0.0647384383207771,"Sim 1"
14,2,0.679178699175393,0.0571945959102276,"Sim 1"
15,2,0.51249739648421,0.0463242184026276,"Sim 1"
16,2,0.342989537326501,0.0335019288499864,"Sim 1"
17,2,0.205870371800948,0.0215115071757921,"Sim 1"
18,2,0.114052381279791,0.0125014063162284,"Sim 1"
19,2,0.0600866501740077,0.00678148713651052,"Sim 1"
20,2,0.030768859357148,0.00352949405187803,"Sim 1"
1,3,0.999954602131297,0.0744187742173286,"Sim 1"
2,3,0.999908584126148,0.0744162370333368,"Sim 1"
3,3,0.999815928095037,0.0744111282971387,"Sim 1"
4,3,0.999629393859374,0.0744008426939906,"Sim 1"
5,3,0.999253971166163,0.0743801386589038,"Sim 1"
6,3,0.998498817743263,0.0743384807986034,"Sim 1"
7,3,0.996981583675292,0.0742547336060215,"Sim 1"
8,3,0.993940198508416,0.0740866587599882,"Sim 1"
9,3,0.987871565015726,0.0737504959539567,"Sim 1"
10,3,0.975872978582331,0.0730827204345597,"Sim 1"
11,3,0.952574126822433,0.0717740238155943,"Sim 1"
12,3,0.908877038985144,0.0692759076088878,"Sim 1"
13,3,0.832018385133925,0.0647384383207771,"Sim 1"
14,3,0.710949502625004,0.0571945959102276,"Sim 1"
15,3,0.549833997312478,0.0463242184026276,"Sim 1"
16,3,0.377540668798146,0.0335019288499864,"Sim 1"
17,3,0.231475216500983,0.0215115071757921,"Sim 1"
18,3,0.130108474362998,0.0125014063162284,"Sim 1"
19,3,0.0691384203433469,0.00678148713651052,"Sim 1"
20,3,0.0355711892726362,0.00352949405187803,"Sim 1"
1,4,0.999960925445205,0.0744187742173286,"Sim 1"
2,4,0.999921316626289,0.0744162370333368,"Sim 1"
3,4,0.999841563780898,0.0744111282971387,"Sim 1"
4,4,0.999680999871073,0.0744008426939906,"Sim 1"
5,4,0.999357820299414,0.0743801386589038,"Sim 1"
6,4,0.998707650223713,0.0743384807986034,"Sim 1"
7,4,0.997400932237677,0.0742547336060215,"Sim 1"
8,4,0.994779874306442,0.0740866587599882,"Sim 1"
9,4,0.989543293768082,0.0737504959539567,"Sim 1"
10,4,0.97916365548132,0.0730827204345597,"Sim 1"
11,4,0.958908721799535,0.0717740238155943,"Sim 1"
12,4,0.920561450816022,0.0692759076088878,"Sim 1"
13,4,0.851952801968311,0.0647384383207771,"Sim 1"
14,4,0.740774899182154,0.0571945959102276,"Sim 1"
15,4,0.58661757891733,0.0463242184026276,"Sim 1"
16,4,0.41338242108267,0.0335019288499864,"Sim 1"
17,4,0.259225100817846,0.0215115071757921,"Sim 1"
18,4,0.14804719803169,0.0125014063162284,"Sim 1"
19,4,0.0794385491839785,0.00678148713651052,"Sim 1"
20,4,0.041091278200465,0.00352949405187803,"Sim 1"
1,5,0.999966368035961,0.0744187742173286,"Sim 1"
2,5,0.99993227585038,0.0744162370333368,"Sim 1"
3,5,0.999863629672921,0.0744111282971387,"Sim 1"
4,5,0.999725421843899,0.0744008426939906,"Sim 1"
5,5,0.999447221363076,0.0743801386589038,"Sim 1"
6,5,0.99888746396714,0.0743384807986034,"Sim 1"
7,5,0.997762151478724,0.0742547336060215,"Sim 1"
8,5,0.995503726839059,0.0740866587599882,"Sim 1"
9,5,0.990986701347152,0.0737504959539567,"Sim 1"
10,5,0.982013790037908,0.0730827204345597,"Sim 1"
11,5,0.964428810727364,0.0717740238155943,"Sim 1"
12,5,0.930861579656653,0.0692759076088878,"Sim 1"
13,5,0.869891525637002,0.0647384383207771,"Sim 1"
14,5,0.768524783499018,0.0571945959102276,"Sim 1"
15,5,0.622459331201855,0.0463242184026276,"Sim 1"
