"i","j","P_ij","F_ij","sim"
1,1,0.999966368035961,0.0896543827865896,"Sim 1"
2,1,0.99993227585038,0.0896513261699334,"Sim 1"
3,1,0.999863629672921,0.0896451715322701,"Sim 1"
4,1,0.999725421843899,0.0896327801779173,"Sim 1"
5,1,0.999447221363076,0.0896078374466452,"Sim 1"
6,1,0.99888746396714,0.0895576510549353,"Sim 1"
7,1,0.997762151478724,0.0894567584651284,"Sim 1"
8,1,0.995503726839059,0.0892542739880386,"Sim 1"
9,1,0.990986701347152,0.0888492892350977,"Sim 1"
10,1,0.982013790037908,0.0880448013533612,"Sim 1"
11,1,0.964428810727364,0.0864681778620148,"Sim 1"
12,1,0.930861579656653,0.0834586272614178,"Sim 1"
13,1,0.869891525637002,0.0779922108535009,"Sim 1"
14,1,0.768524783499018,0.0689039324953816,"Sim 1"
15,1,0.622459331201855,0.0558080840841326,"Sim 1"
16,1,0.450166002687522,0.0403607125324885,"Sim 1"
17,1,0.289050497374996,0.0259155155259982,"Sim 1"
18,1,0.167981614866076,0.0150607945244124,"Sim 1"
19,1,0.0911229610148562,0.00816984759549393,"Sim 1"
20,1,0.0474258731775668,0.00425208039366471,"Sim 1"
1,2,0.999966368035961,0.0832504983018332,"Sim 1"
2,2,0.99993227585038,0.0832476600149382,"Sim 1"
3,2,0.999863629672921,0.0832419449942508,"Sim 1"
4,2,0.999725421843899,0.0832304387366375,"Sim 1"
5,2,0.999447221363076,0.0832072776290277,"Sim 1"
6,2,0.99888746396714,0.0831606759795828,"Sim 1"
7,2,0.997762151478724,0.0830669900033335,"Sim 1"
8,2,0.995503726839059,0.0828789687031787,"Sim 1"
9,2,0.990986701347152,0.0825029114325907,"Sim 1"
10,2,0.982013790037908,0.0817558869709782,"Sim 1"
11,2,0.964428810727364,0.0802918794432994,"Sim 1"
12,2,0.930861579656653,0.0774972967427451,"Sim 1"
13,2,0.869891525637002,0.0724213386496794,"Sim 1"
14,2,0.768524783499018,0.0639822230314258,"Sim 1"
15,2,0.622459331201855,0.0518217923638374,"Sim 1"
16,2,0.450166002687522,0.0374778044944536,"Sim 1"
17,2,0.289050497374996,0.0240644072741412,"Sim 1"
18,2,0.167981614866076,0.0139850234869544,"Sim 1"
19,2,0.0911229610148562,0.00758628705295865,"Sim 1"
20,2,0.0474258731775668,0.00394836036554581,"Sim 1"
1,3,0.999966368035961,0.0768466138170768,"Sim 1"
2,3,0.99993227585038,0.076843993859943,"Sim 1"
3,3,0.999863629672921,0.0768387184562315,"Sim 1"
4,3,0.999725421843899,0.0768280972953577,"Sim 1"
5,3,0.999447221363076,0.0768067178114102,"Sim 1"
6,3,0.99888746396714,0.0767637009042303,"Sim 1"
7,3,0.997762151478724,0.0766772215415386,"Sim 1"
8,3,0.995503726839059,0.0765036634183188,"Sim 1"
9,3,0.990986701347152,0.0761565336300838,"Sim 1"
10,3,0.982013790037908,0.0754669725885953,"Sim 1"
11,3,0.964428810727364,0.0741155810245841,"Sim 1"
12,3,0.930861579656653,0.0715359662240724,"Sim 1"
13,3,0.869891525637002,0.0668504664458579,"Sim 1"
14,3,0.768524783499018,0.05906051356747,"Sim 1"
15,3,0.622459331201855,0.0478355006435422,"Sim 1"
16,3,0.450166002687522,0.0345948964564187,"Sim 1"
17,3,0.289050497374996,0.0222132990222842,"Sim 1"
18,3,0.167981614866076,0.0129092524494964,"Sim 1"
19,3,0.0911229610148562,0.00700272651042337,"Sim 1"
20,3,0.0474258731775668,0.0036446403374269,"Sim 1"
1,4,0.999966368035961,0.0704427293323204,"Sim 1"
2,4,0.99993227585038,0.0704403277049477,"Sim 1"
3,4,0.999863629672921,0.0704354919182122,"Sim 1"
4,4,0.999725421843899,0.0704257558540779,"Sim 1"
5,4,0.999447221363076,0.0704061579937926,"Sim 1"
6,4,0.99888746396714,0.0703667258288777,"Sim 1"
7,4,0.997762151478724,0.0702874530797437,"Sim 1"
8,4,0.995503726839059,0.0701283581334589,"Sim 1"
9,4,0.990986701347152,0.0698101558275768,"Sim 1"
10,4,0.982013790037908,0.0691780582062124,"Sim 1"
11,4,0.964428810727364,0.0679392826058688,"Sim 1"
12,4,0.930861579656653,0.0655746357053997,"Sim 1"
13,4,0.869891525637002,0.0612795942420364,"Sim 1"
14,4,0.768524783499018,0.0541388041035141,"Sim 1"
15,4,0.622459331201855,0.043849208923247,"Sim 1"
16,4,0.450166002687522,0.0317119884183838,"Sim 1"
17,4,0.289050497374996,0.0203621907704272,"Sim 1"
18,4,0.167981614866076,0.0118334814120383,"Sim 1"
19,4,0.0911229610148562,0.00641916596788809,"Sim 1"
20,4,0.0474258731775668,0.00334092030930799,"Sim 1"
1,5,0.999966368035961,0.064038844847564,"Sim 1"
2,5,0.99993227585038,0.0640366615499525,"Sim 1"
3,5,0.999863629672921,0.0640322653801929,"Sim 1"
4,5,0.999725421843899,0.0640234144127981,"Sim 1"
5,5,0.999447221363076,0.0640055981761751,"Sim 1"
6,5,0.99888746396714,0.0639697507535252,"Sim 1"
7,5,0.997762151478724,0.0638976846179489,"Sim 1"
8,5,0.995503726839059,0.063753052848599,"Sim 1"
9,5,0.990986701347152,0.0634637780250698,"Sim 1"
10,5,0.982013790037908,0.0628891438238294,"Sim 1"
11,5,0.964428810727364,0.0617629841871534,"Sim 1"
12,5,0.930861579656653,0.059613305186727,"Sim 1"
13,5,0.869891525637002,0.055708722038215,"Sim 1"
14,5,0.768524783499018,0.0492170946395583,"Sim 1"
15,5,0.622459331201855,0.0398629172029519,"Sim 1"
16,5,0.450166002687522,0.0288290803803489,"Sim 1"
17,5,0.289050497374996,0.0185110825185702,"Sim 1"
18,5,0.167981614866076,0.0107577103745803,"Sim 1"
19,5,0.0911229610148562,0.00583560542535281,"Sim 1"
20,5,0.0474258731775668,0.00303720028118908,"Sim 1"
1,6,0.999966368035961,0.0576349603628076,"Sim 1"
2,6,0.99993227585038,0.0576329953949572,"Sim 1"
3,6,0.999863629672921,0.0576290388421736,"Sim 1"
4,6,0.999725421843899,0.0576210729715183,"Sim 1"
5,6,0.999447221363076,0.0576050383585576,"Sim 1"
6,6,0.99888746396714,0.0575727756781727,"Sim 1"
7,6,0.997762151478724,0.057507916156154,"Sim 1"
8,6,0.995503726839059,0.0573777475637391,"Sim 1"
9,6,0.990986701347152,0.0571174002225628,"Sim 1"
10,6,0.982013790037908,0.0566002294414465,"Sim 1"
11,6,0.964428810727364,0.0555866857684381,"Sim 1"
12,6,0.930861579656653,0.0536519746680543,"Sim 1"
13,6,0.869891525637002,0.0501378498343935,"Sim 1"
14,6,0.768524783499018,0.0442953851756025,"Sim 1"
15,6,0.622459331201855,0.0358766254826567,"Sim 1"
16,6,0.450166002687522,0.025946172342314,"Sim 1"
17,6,0.289050497374996,0.0166599742667132,"Sim 1"
18,6,0.167981614866076,0.00968193933712229,"Sim 1"
19,6,0.0911229610148562,0.00525204488281753,"Sim 1"
20,6,0.0474258731775668,0.00273348025307017,"Sim 1"
1,7,0.999966368035961,0.0512310758780512,"Sim 1"
2,7,0.99993227585038,0.051229329239962,"Sim 1"
3,7,0.999863629672921,0.0512258123041543,"Sim 1"
4,7,0.999725421843899,0.0512187315302384,"Sim 1"
5,7,0.999447221363076,0.0512044785409401,"Sim 1"
6,7,0.99888746396714,0.0511758006028202,"Sim 1"
7,7,0.997762151478724,0.0511181476943591,"Sim 1"
8,7,0.995503726839059,0.0510024422788792,"Sim 1"
9,7,0.990986701347152,0.0507710224200558,"Sim 1"
10,7,0.982013790037908,0.0503113150590635,"Sim 1"
11,7,0.964428810727364,0.0494103873497227,"Sim 1"
12,7,0.930861579656653,0.0476906441493816,"Sim 1"
13,7,0.869891525637002,0.044566977630572,"Sim 1"
14,7,0.768524783499018,0.0393736757116467,"Sim 1"
15,7,0.622459331201855,0.0318903337623615,"Sim 1"
16,7,0.450166002687522,0.0230632643042791,"Sim 1"
17,7,0.289050497374996,0.0148088660148561,"Sim 1"
18,7,0.167981614866076,0.00860616829966425,"Sim 1"
19,7,0.0911229610148562,0.00466848434028225,"Sim 1"
20,7,0.0474258731775668,0.00242976022495127,"Sim 1"
1,8,0.999966368035961,0.0448271913932948,"Sim 1"
2,8,0.99993227585038,0.0448256630849667,"Sim 1"
3,8,0.999863629672921,0.044822585766135,"Sim 1"
4,8,0.999725421843899,0.0448163900889586,"Sim 1"
5,8,0.999447221363076,0.0448039187233226,"Sim 1"
6,8,0.99888746396714,0.0447788255274677,"Sim 1"
7,8,0.997762151478724,0.0447283792325642,"Sim 1"
8,8,0.995503726839059,0.0446271369940193,"Sim 1"
9,8,0.990986701347152,0.0444246446175489,"Sim 1"
10,8,0.982013790037908,0.0440224006766806,"Sim 1"
11,8,0.964428810727364,0.0432340889310074,"Sim 1"
12,8,0.930861579656653,0.0417293136307089,"Sim 1"
13,8,0.869891525637002,0.0389961054267505,"Sim 1"
14,8,0.768524783499018,0.0344519662476908,"Sim 1"
15,8,0.622459331201855,0.0279040420420663,"Sim 1"
16,8,0.450166002687522,0.0201803562662443,"Sim 1"
17,8,0.289050497374996,0.0129577577629991,"Sim 1"
18,8,0.167981614866076,0.00753039726220622,"Sim 1"
19,8,0.0911229610148562,0.00408492379774697,"Sim 1"
20,8,0.0474258731775668,0.00212604019683236,"Sim 1"
1,9,0.999966368035961,0.0384233069085384,"Sim 1"
2,9,0.99993227585038,0.0384219969299715,"Sim 1"
3,9,0.999863629672921,0.0384193592281158,"Sim 1"
4,9,0.999725421843899,0.0384140486476788,"Sim 1"
5,9,0.999447221363076,0.0384033589057051,"Sim 1"
6,9,0.99888746396714,0.0383818504521151,"Sim 1"
7,9,0.997762151478724,0.0383386107707693,"Sim 1"
8,9,0.995503726839059,0.0382518317091594,"Sim 1"
9,9,0.990986701347152,0.0380782668150419,"Sim 1"
10,9,0.982013790037908,0.0377334862942976,"Sim 1"
11,9,0.964428810727364,0.0370577905122921,"Sim 1"
12,9,0.930861579656653,0.0357679831120362,"Sim 1"
13,9,0.869891525637002,0.033425233222929,"Sim 1"
14,9,0.768524783499018,0.029530256783735,"Sim 1"
15,9,0.622459331201855,0.0239177503217711,"Sim 1"
